Bank,Tweet Number,Tweet Date,Week,Quarter,gcp_score,Google Trend,Competitor1,Competitor2,Competitor3,Competitor4,ROA,ROS,Operating Income to Sales,Opearting Income to Assets,Operating Expenses to Sales,Cost of Goods to Sales,"Selling, General and Administrative Expenses to Sales"
Scotia,36,2/11/2012,15,2,0.5,86,72,78,81,78,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,37,2/13/2012,16,2,-0.400000006,84,75,82,86,80,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,38,2/14/2012,16,2,-0.800000012,84,75,82,86,80,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,39,2/23/2012,17,2,-0.600000024,83,74,79,86,76,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,40,2/29/2012,18,2,-0.300000012,90,84,89,94,88,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,41,3/4/2012,18,2,0.200000003,90,84,89,94,88,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,42,3/8/2012,19,2,0.200000003,82,79,83,88,82,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,43,3/16/2012,20,2,-0.800000012,79,80,82,89,84,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,44,3/25/2012,21,2,-0.699999988,82,78,81,86,84,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,45,3/25/2012,21,2,-0.699999988,82,78,81,86,84,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,46,3/25/2012,21,2,-0.800000012,82,78,81,86,84,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,47,3/25/2012,21,2,-0.800000012,82,78,81,86,84,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,48,3/28/2012,22,2,0.100000001,85,81,80,89,83,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,49,3/29/2012,22,2,0.600000024,85,81,80,89,83,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,50,3/31/2012,22,2,0.400000006,85,81,80,89,83,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,51,4/2/2012,23,2,0.400000006,81,84,78,90,83,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,52,4/2/2012,23,2,-0.699999988,81,84,78,90,83,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,53,4/12/2012,24,2,0.899999976,79,79,75,86,83,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,54,4/14/2012,24,2,-0.899999976,79,79,75,86,83,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,55,4/16/2012,25,2,0.5,81,78,75,85,80,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,56,4/16/2012,25,2,0.100000001,81,78,75,85,80,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,57,4/18/2012,25,2,-0.5,81,78,75,85,80,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,58,4/20/2012,25,2,0,81,78,75,85,80,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,59,4/24/2012,26,2,0.899999976,82,85,75,86,82,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,60,4/25/2012,26,2,0,82,85,75,86,82,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,61,4/25/2012,26,2,-0.300000012,82,85,75,86,82,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,62,4/26/2012,26,2,0.400000006,82,85,75,86,82,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,63,4/30/2012,27,2,-0.5,93,89,82,98,90,0.002108566,0.21676796,0.283309958,0.00275584,0.660121552,0.277232352,0.382889201
Scotia,64,5/2/2012,27,3,-0.800000012,93,89,82,98,90,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,65,5/2/2012,27,3,-0.200000003,93,89,82,98,90,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,66,5/2/2012,27,3,0.300000012,93,89,82,98,90,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,67,5/5/2012,27,3,0.200000003,93,89,82,98,90,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,68,5/9/2012,28,3,0,86,86,77,89,86,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,69,5/9/2012,28,3,0.899999976,86,86,77,89,86,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,70,5/9/2012,28,3,0,86,86,77,89,86,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,71,5/11/2012,28,3,0.100000001,86,86,77,89,86,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,72,5/18/2012,29,3,0.200000003,90,81,84,94,88,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,73,5/25/2012,30,3,-0.100000001,84,77,76,86,81,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,74,6/8/2012,32,3,0.5,84,81,80,89,82,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,75,6/10/2012,32,3,0.5,84,81,80,89,82,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,76,6/14/2012,33,3,-0.200000003,87,77,77,89,85,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,77,6/16/2012,33,3,0.699999988,87,77,77,89,85,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,78,6/19/2012,34,3,-0.800000012,89,78,85,88,84,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,79,6/25/2012,35,3,-0.699999988,95,83,84,93,89,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,80,6/27/2012,35,3,-0.800000012,95,83,84,93,89,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,81,6/27/2012,35,3,0.800000012,95,83,84,93,89,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,82,6/29/2012,35,3,-0.600000024,95,83,84,93,89,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,83,7/3/2012,36,3,-0.200000003,97,87,84,95,92,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,84,7/7/2012,36,3,0,97,87,84,95,92,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,85,7/17/2012,38,3,0.400000006,89,81,78,95,86,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,86,7/21/2012,38,3,-0.5,89,81,78,95,86,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,87,7/26/2012,39,3,0.200000003,87,81,81,89,87,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,88,7/27/2012,39,3,0,87,81,81,89,87,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,89,7/28/2012,39,3,-0.699999988,87,81,81,89,87,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,90,7/30/2012,40,3,0,93,87,86,97,94,0.002986701,0.303641882,0.376631259,0.003704643,0.685735964,0.306221548,0.379514416
Scotia,91,8/2/2012,40,4,-0.699999988,93,87,86,97,94,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,92,8/7/2012,41,4,0.699999988,82,80,77,89,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,93,8/9/2012,41,4,0.100000001,82,80,77,89,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,94,8/11/2012,41,4,0.100000001,82,80,77,89,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,95,8/11/2012,41,4,0.100000001,82,80,77,89,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,96,8/13/2012,42,4,-0.100000001,86,82,81,91,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,97,8/13/2012,42,4,-0.200000003,86,82,81,91,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,98,8/15/2012,42,4,0.899999976,86,82,81,91,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,99,8/17/2012,42,4,0.699999988,86,82,81,91,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,100,8/17/2012,42,4,-0.600000024,86,82,81,91,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,101,8/19/2012,42,4,0.200000003,86,82,81,91,88,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,102,8/20/2012,43,4,-0.200000003,87,80,79,93,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,103,8/21/2012,43,4,0.400000006,87,80,79,93,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,104,8/21/2012,43,4,0,87,80,79,93,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,105,8/23/2012,43,4,-0.400000006,87,80,79,93,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,106,8/25/2012,43,4,0,87,80,79,93,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,107,8/25/2012,43,4,0.100000001,87,80,79,93,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,108,8/26/2012,43,4,0.5,87,80,79,93,84,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,109,8/27/2012,44,4,-0.699999988,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,110,8/28/2012,44,4,0.699999988,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,111,8/29/2012,44,4,-0.800000012,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,112,8/29/2012,44,4,0.100000001,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,113,8/29/2012,44,4,0.200000003,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,114,8/29/2012,44,4,0,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,115,8/29/2012,44,4,0,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,116,8/29/2012,44,4,0,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,117,8/29/2012,44,4,0,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,118,8/29/2012,44,4,0,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,119,8/30/2012,44,4,-0.699999988,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,120,8/30/2012,44,4,-0.800000012,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
Scotia,121,8/30/2012,44,4,-0.200000003,99,90,86,98,91,0.002175006,0.224297623,0.272615005,0.002643538,0.691262735,0.290830503,0.400432232
